Mom,year,month
0.36,1927,1
-2.14,1927,2
3.61,1927,3
4.3,1927,4
3,1927,5
0.6,1927,6
4.31,1927,7
1.36,1927,8
1.98,1927,9
-0.87,1927,10
-0.51,1927,11
3.21,1927,12
-0.52,1928,1
-1.09,1928,2
4.7,1928,3
-4.41,1928,4
3.02,1928,5
2.04,1928,6
2.65,1928,7
3.54,1928,8
3.45,1928,9
5.1,1928,10
2.09,1928,11
1.54,1928,12
2.45,1929,1
3.05,1929,2
-0.64,1929,3
1.91,1929,4
-2.04,1929,5
8.6,1929,6
2.96,1929,7
4.7,1929,8
2.97,1929,9
4.1,1929,10
-2.39,1929,11
5.19,1929,12
-5.16,1930,1
0.62,1930,2
-4.42,1930,3
3.98,1930,4
0.05,1930,5
6.64,1930,6
-2.19,1930,7
3.95,1930,8
11.48,1930,9
6.86,1930,10
-1.46,1930,11
13.32,1930,12
-11.07,1931,1
-14.47,1931,2
9.46,1931,3
11.4,1931,4
9.26,1931,5
-17.88,1931,6
8.19,1931,7
-3.5,1931,8
10.15,1931,9
3.27,1931,10
7.54,1931,11
14.16,1931,12
-10.87,1932,1
1.59,1932,2
9.92,1932,3
6.97,1932,4
12.28,1932,5
1.88,1932,6
-45.02,1932,7
-52.05,1932,8
2.36,1932,9
4.95,1932,10
-1.83,1932,11
5.48,1932,12
-1.6,1933,1
4.26,1933,2
2.59,1933,3
-16.51,1933,4
-4.31,1933,5
4,1933,6
0.1,1933,7
7.59,1933,8
1.58,1933,9
-2.21,1933,10
6.1,1933,11
4.18,1933,12
-2.97,1934,1
-0.29,1934,2
-0.67,1934,3
-4.71,1934,4
-2.56,1934,5
-0.96,1934,6
8.71,1934,7
2.48,1934,8
0.06,1934,9
6.9,1934,10
3.83,1934,11
4.73,1934,12
3.72,1935,1
13.92,1935,2
2.49,1935,3
-4.64,1935,4
-3.62,1935,5
2.35,1935,6
-4.06,1935,7
-7.17,1935,8
8.95,1935,9
1.87,1935,10
-6.27,1935,11
3.78,1935,12
-3.33,1936,1
2.45,1936,2
1.82,1936,3
-7.65,1936,4
2.47,1936,5
0.38,1936,6
2.85,1936,7
0.65,1936,8
1.24,1936,9
1,1936,10
1.97,1936,11
2.01,1936,12
-1.9,1937,1
3.17,1937,2
2.7,1937,3
-3.71,1937,4
0.58,1937,5
0.74,1937,6
-0.55,1937,7
-1.85,1937,8
-7.01,1937,9
-1.6,1937,10
-1.23,1937,11
4.67,1937,12
-1.61,1938,1
-2.91,1938,2
15.55,1938,3
-8.49,1938,4
7.01,1938,5
-24.79,1938,6
-7.02,1938,7
3.64,1938,8
2.58,1938,9
-7.77,1938,10
3.07,1938,11
2.18,1938,12
-3.04,1939,1
3.27,1939,2
-1.55,1939,3
2.56,1939,4
3.54,1939,5
2.05,1939,6
-0.55,1939,7
5.95,1939,8
-31.03,1939,9
6.56,1939,10
-0.29,1939,11
5.38,1939,12
1.75,1940,1
1.79,1940,2
-0.36,1940,3
3.24,1940,4
2.95,1940,5
-2.14,1940,6
0.8,1940,7
-1.57,1940,8
-0.28,1940,9
-6.51,1940,10
1.28,1940,11
3.48,1940,12
-4.43,1941,1
0.97,1941,2
2.44,1941,3
3.01,1941,4
2.52,1941,5
-0.95,1941,6
-1.63,1941,7
0.12,1941,8
-1.65,1941,9
4.75,1941,10
4.05,1941,11
0.25,1941,12
-3.57,1942,1
-0.75,1942,2
-0.33,1942,3
-0.71,1942,4
-4.71,1942,5
-1.32,1942,6
0.75,1942,7
-0.18,1942,8
-0.64,1942,9
-4.07,1942,10
-0.88,1942,11
3.26,1942,12
-0.36,1943,1
-1.55,1943,2
4.85,1943,3
6.17,1943,4
5.64,1943,5
-1.29,1943,6
-4.57,1943,7
0.88,1943,8
1.8,1943,9
-0.57,1943,10
-4.6,1943,11
6.03,1943,12
0.98,1944,1
0.33,1944,2
2.51,1944,3
0.55,1944,4
1.98,1944,5
-5.13,1944,6
0.13,1944,7
4.66,1944,8
-1.06,1944,9
-1.34,1944,10
1.34,1944,11
3.36,1944,12
0.02,1945,1
3.1,1945,2
-3.26,1945,3
4.82,1945,4
0.11,1945,5
4.14,1945,6
-2.7,1945,7
-1.31,1945,8
1.25,1945,9
0.12,1945,10
4.11,1945,11
1.25,1945,12
